district,date,month,year,visitors
Adilabad,01-01-2017,January,2017,318799
Adilabad,01-02-2017,February,2017,83316
Adilabad,01-03-2017,March,2017,27508
Adilabad,01-04-2017,April,2017,13946
Adilabad,01-05-2017,May,2017,11752
Adilabad,01-06-2017,June,2017,26859
Adilabad,01-07-2017,July,2017,52386
Adilabad,01-08-2017,August,2017,34876
Adilabad,01-09-2017,September,2017,42699
Adilabad,01-10-2017,October,2017,41666
Adilabad,01-11-2017,November,2017,117322
Adilabad,01-12-2017,December,2017,54251
Bhadradri Kothagudem ,01-01-2017,January,2017,302315
Bhadradri Kothagudem ,01-02-2017,February,2017,251359
Bhadradri Kothagudem ,01-03-2017,March,2017,243943
Bhadradri Kothagudem ,01-04-2017,April,2017,667459
Bhadradri Kothagudem ,01-05-2017,May,2017,311626
Bhadradri Kothagudem ,01-06-2017,June,2017,351742
Bhadradri Kothagudem ,01-07-2017,July,2017,258114
Bhadradri Kothagudem ,01-08-2017,August,2017,316438
Bhadradri Kothagudem ,01-09-2017,September,2017,381784
Bhadradri Kothagudem ,01-10-2017,October,2017,334504
Bhadradri Kothagudem ,01-11-2017,November,2017,281515
Bhadradri Kothagudem ,01-12-2017,December,2017,393518
Hyderabad,01-01-2017,January,2017,1924695
Hyderabad,01-02-2017,February,2017,1886698
Hyderabad,01-03-2017,March,2017,1783903
Hyderabad,01-04-2017,April,2017,2366793
Hyderabad,01-05-2017,May,2017,2266793
Hyderabad,01-06-2017,June,2017,2007060
Hyderabad,01-07-2017,July,2017,1890870
Hyderabad,01-08-2017,August,2017,1976980
Hyderabad,01-09-2017,September,2017,2011280
Hyderabad,01-10-2017,October,2017,2202316
Hyderabad,01-11-2017,November,2017,1971438
Hyderabad,01-12-2017,December,2017,4871416
Jagtial ,01-01-2017,January,2017,174477
Jagtial ,01-02-2017,February,2017,159659
Jagtial ,01-03-2017,March,2017,323658
Jagtial ,01-04-2017,April,2017,330540
Jagtial ,01-05-2017,May,2017,468038
Jagtial ,01-06-2017,June,2017,418103
Jagtial ,01-07-2017,July,2017,247254
Jagtial ,01-08-2017,August,2017,386458
Jagtial ,01-09-2017,September,2017,143102
Jagtial ,01-10-2017,October,2017,248504
Jagtial ,01-11-2017,November,2017,348042
Jagtial ,01-12-2017,December,2017,393566
Jangaon ,01-01-2017,January,2017,12280
Jangaon ,01-02-2017,February,2017,12610
Jangaon ,01-03-2017,March,2017,8450
Jangaon ,01-04-2017,April,2017,9788
Jangaon ,01-05-2017,May,2017,12130
Jangaon ,01-06-2017,June,2017,13750
Jangaon ,01-07-2017,July,2017,16050
Jangaon ,01-08-2017,August,2017,15680
Jangaon ,01-09-2017,September,2017,15600
Jangaon ,01-10-2017,October,2017,16130
Jangaon ,01-11-2017,November,2017,16360
Jangaon ,01-12-2017,December,2017,16880
Jayashankar Bhoopalpally,01-01-2017,January,2017,96560
Jayashankar Bhoopalpally,01-02-2017,February,2017,96850
Jayashankar Bhoopalpally,01-03-2017,March,2017,81400
Jayashankar Bhoopalpally,01-04-2017,April,2017,90700
Jayashankar Bhoopalpally,01-05-2017,May,2017,91150
Jayashankar Bhoopalpally,01-06-2017,June,2017,93650
Jayashankar Bhoopalpally,01-07-2017,July,2017,94700
Jayashankar Bhoopalpally,01-08-2017,August,2017,118350
Jayashankar Bhoopalpally,01-09-2017,September,2017,112600
Jayashankar Bhoopalpally,01-10-2017,October,2017,115250
Jayashankar Bhoopalpally,01-11-2017,November,2017,116800
Jayashankar Bhoopalpally,01-12-2017,December,2017,723000
Jogulamba Gadwal ,01-01-2017,January,2017,214887
Jogulamba Gadwal ,01-02-2017,February,2017,481110
Jogulamba Gadwal ,01-03-2017,March,2017,155013
Jogulamba Gadwal ,01-04-2017,April,2017,131426
Jogulamba Gadwal ,01-05-2017,May,2017,131426
Jogulamba Gadwal ,01-06-2017,June,2017,160182
Jogulamba Gadwal ,01-07-2017,July,2017,160182
Jogulamba Gadwal ,01-08-2017,August,2017,131485
Jogulamba Gadwal ,01-09-2017,September,2017,123733
Jogulamba Gadwal ,01-10-2017,October,2017,152898
Jogulamba Gadwal ,01-11-2017,November,2017,188170
Jogulamba Gadwal ,01-12-2017,December,2017,214887
Kamareddy ,01-01-2017,January,2017,58
Kamareddy ,01-02-2017,February,2017,50
Kamareddy ,01-03-2017,March,2017,41
Kamareddy ,01-04-2017,April,2017,46
Kamareddy ,01-05-2017,May,2017,60
Kamareddy ,01-06-2017,June,2017,41
Kamareddy ,01-07-2017,July,2017,41
Kamareddy ,01-08-2017,August,2017,40
Kamareddy ,01-09-2017,September,2017,41
Kamareddy ,01-10-2017,October,2017,38
Kamareddy ,01-11-2017,November,2017,43
Kamareddy ,01-12-2017,December,2017,41
Karimnagar ,01-01-2017,January,2017,14425
Karimnagar ,01-02-2017,February,2017,10845
Karimnagar ,01-03-2017,March,2017,9625
Karimnagar ,01-04-2017,April,2017,8630
Karimnagar ,01-05-2017,May,2017,8890
