district,date,month,year,visitors
Adilabad,01-01-2019,January,2019,25071
Adilabad,01-02-2019,February,2019,406177
Adilabad,01-03-2019,March,2019,14347
Adilabad,01-04-2019,April,2019,9972
Adilabad,01-05-2019,May,2019,6997
Adilabad,01-06-2019,June,2019,9161
Adilabad,01-07-2019,July,2019,11791
Adilabad,01-08-2019,August,2019,108173
Adilabad,01-09-2019,September,2019,37589
Adilabad,01-10-2019,October,2019,38184
Adilabad,01-11-2019,November,2019,70344
Adilabad,01-12-2019,December,2019,38089
Bhadradri Kothagudem ,01-01-2019,January,2019,283365
Bhadradri Kothagudem ,01-02-2019,February,2019,229159
Bhadradri Kothagudem ,01-03-2019,March,2019,225448
Bhadradri Kothagudem ,01-04-2019,April,2019,349585
Bhadradri Kothagudem ,01-05-2019,May,2019,275800
Bhadradri Kothagudem ,01-06-2019,June,2019,9761776
Bhadradri Kothagudem ,01-07-2019,July,2019,233338
Bhadradri Kothagudem ,01-08-2019,August,2019,271941
Bhadradri Kothagudem ,01-09-2019,September,2019,314199
Bhadradri Kothagudem ,01-10-2019,October,2019,287432
Bhadradri Kothagudem ,01-11-2019,November,2019,298366
Bhadradri Kothagudem ,01-12-2019,December,2019,287328
Hyderabad,01-01-2019,January,2019,1426500
Hyderabad,01-02-2019,February,2019,983147
Hyderabad,01-03-2019,March,2019,1009991
Hyderabad,01-04-2019,April,2019,1045933
Hyderabad,01-05-2019,May,2019,1305748
Hyderabad,01-06-2019,June,2019,1262995
Hyderabad,01-07-2019,July,2019,1094861
Hyderabad,01-08-2019,August,2019,1121380
Hyderabad,01-09-2019,September,2019,959930
Hyderabad,01-10-2019,October,2019,1240643
Hyderabad,01-11-2019,November,2019,1073665
Hyderabad,01-12-2019,December,2019,1277569
Jagtial ,01-01-2019,January,2019,211913
Jagtial ,01-02-2019,February,2019,215105
Jagtial ,01-03-2019,March,2019,194090
Jagtial ,01-04-2019,April,2019,447226
Jagtial ,01-05-2019,May,2019,500206
Jagtial ,01-06-2019,June,2019,235363
Jagtial ,01-07-2019,July,2019,157419
Jagtial ,01-08-2019,August,2019,151570
Jagtial ,01-09-2019,September,2019,157564
Jagtial ,01-10-2019,October,2019,165070
Jagtial ,01-11-2019,November,2019,277630
Jagtial ,01-12-2019,December,2019,372959
Jangaon ,01-01-2019,January,2019,28750
Jangaon ,01-02-2019,February,2019,28810
Jangaon ,01-03-2019,March,2019,27300
Jangaon ,01-04-2019,April,2019,26160
Jangaon ,01-05-2019,May,2019,26740
Jangaon ,01-06-2019,June,2019,25820
Jangaon ,01-07-2019,July,2019,24160
Jangaon ,01-08-2019,August,2019,27800
Jangaon ,01-09-2019,September,2019,28640
Jangaon ,01-10-2019,October,2019,27840
Jangaon ,01-11-2019,November,2019,28410
Jangaon ,01-12-2019,December,2019,28460
Jayashankar Bhoopalpally,01-01-2019,January,2019,197430
Jayashankar Bhoopalpally,01-02-2019,February,2019,33500
Jayashankar Bhoopalpally,01-03-2019,March,2019,37500
Jayashankar Bhoopalpally,01-04-2019,April,2019,38500
Jayashankar Bhoopalpally,01-05-2019,May,2019,30800
Jayashankar Bhoopalpally,01-06-2019,June,2019,40500
Jayashankar Bhoopalpally,01-07-2019,July,2019,45500
Jayashankar Bhoopalpally,01-08-2019,August,2019,45000
Jayashankar Bhoopalpally,01-09-2019,September,2019,50500
Jayashankar Bhoopalpally,01-10-2019,October,2019,46000
Jayashankar Bhoopalpally,01-11-2019,November,2019,51500
Jayashankar Bhoopalpally,01-12-2019,December,2019,45800
Jogulamba Gadwal ,01-01-2019,January,2019,146441
Jogulamba Gadwal ,01-02-2019,February,2019,481110
Jogulamba Gadwal ,01-03-2019,March,2019,155013
Jogulamba Gadwal ,01-04-2019,April,2019,82334
Jogulamba Gadwal ,01-05-2019,May,2019,154609
Jogulamba Gadwal ,01-06-2019,June,2019,155013
Jogulamba Gadwal ,01-07-2019,July,2019,114951
Jogulamba Gadwal ,01-08-2019,August,2019,123733
Jogulamba Gadwal ,01-09-2019,September,2019,131485
Jogulamba Gadwal ,01-10-2019,October,2019,152898
Jogulamba Gadwal ,01-11-2019,November,2019,128075
Jogulamba Gadwal ,01-12-2019,December,2019,182333
Kamareddy ,01-01-2019,January,2019,42
Kamareddy ,01-02-2019,February,2019,41
Kamareddy ,01-03-2019,March,2019,45
Kamareddy ,01-04-2019,April,2019,41
Kamareddy ,01-05-2019,May,2019,46
Kamareddy ,01-06-2019,June,2019,41
Kamareddy ,01-07-2019,July,2019,50
Kamareddy ,01-08-2019,August,2019,50
Kamareddy ,01-09-2019,September,2019,41
Kamareddy ,01-10-2019,October,2019,46
Kamareddy ,01-11-2019,November,2019,46
Kamareddy ,01-12-2019,December,2019,45
Karimnagar ,01-01-2019,January,2019,10285
Karimnagar ,01-02-2019,February,2019,6480
Karimnagar ,01-03-2019,March,2019,6634
Karimnagar ,01-04-2019,April,2019,5623
Karimnagar ,01-05-2019,May,2019,3393
Karimnagar ,01-06-2019,June,2019,3871
Karimnagar ,01-07-2019,July,2019,5192
Karimnagar ,01-08-2019,August,2019,5480
